,cidade,bairro,estado,tipo_imovel,m2,quartos,suites,banheiros,vagas,preco
39, Camboriú ,Centro , SC,Casa,370.0,3,3,3,3,3750000.0
40, Balneário Camboriú ,Nações , SC,Apartamento,97.34,2,2,3,1,1910683.82
41, Balneário Camboriú ,Nações , SC,Apartamento,65.7,2,1,1,1,784961.92
42, Balneário Camboriú ,Nações , SC,Apartamento,67.17,2,2,1,1,861965.34
43, Balneário Camboriú ,Pioneiros , SC,Apartamento,146.34,4,4,1,3,2406979.98
44, Balneário Camboriú ,Pioneiros , SC,Apartamento,132.19,3,3,1,2,2246716.97
45, Balneário Camboriú ,Pioneiros , SC,Apartamento,262.09,4,4,1,3,4598208.64
46, Balneário Camboriú ,Centro , SC,Apartamento,135.7,4,4,1,3,2179253.03
47, Balneário Camboriú ,Centro , SC,Apartamento,136.2,4,4,1,3,2545557.09
48, Balneário Camboriú ,Ariribá , SC,Casa,184.92,3,3,1,2,1650731.4
49, Balneário Camboriú ,Ariribá , SC,Casa,173.18,3,3,1,2,1783854.9
50, Balneário Camboriú ,Centro , SC,Apartamento,126.11,3,3,1,2,1810479.6
51, Balneário Camboriú ,Centro , SC,Apartamento,153.46,3,3,1,3,4344611.72
52, Balneário Camboriú ,Centro , SC,Apartamento,238.0,4,4,1,4,10500000.0
53, Balneário Camboriú ,Centro , SC,Apartamento,237.0,4,4,1,4,10500000.0
54, Itajaí ,Praia Brava , SC,Apartamento,182.0,3,1,1,2,2931500.0
55, Itajaí ,Praia Brava , SC,Apartamento,238.0,3,3,1,6,4809000.0
58, Itajaí ,Praia dos Amores , SC,Apartamento,203.53,4,4,1,2,7200000.0
59, Balneário Camboriú ,Centro , SC,Apartamento,317.1,4,2,1,2,3300000.0
63, Itapema ,Meia Praia , SC,Apartamento,213.72,4,4,1,3,3940000.0
64, Itapema ,Meia Praia , SC,Apartamento,213.72,4,4,1,3,3940000.0
65, Itapema ,Meia Praia , SC,Apartamento,427.44,5,5,1,4,14860000.0
66, Itapema ,Meia Praia , SC,Apartamento,213.72,4,4,1,3,4150000.0
67, Balneário Camboriú ,Centro , SC,Apartamento,178.77,4,4,1,3,5074444.84
68, Balneário Camboriú ,Centro , SC,Apartamento,180.66,4,4,1,3,5466618.25
69, Balneário Camboriú ,Nações , SC,Apartamento,65.7,2,1,1,1,797317.38
70, Balneário Camboriú ,Centro , SC,Apartamento,136.2,4,4,1,3,2373590.16
71, Balneário Camboriú ,Ariribá , SC,Casa,182.23,3,3,1,2,1624106.7
72, Balneário Camboriú ,Centro , SC,Apartamento,126.11,3,3,1,2,1757230.2
73, Balneário Camboriú ,Nações , SC,Apartamento,108.79,2,2,3,2,2819555.13
74, Balneário Camboriú ,Centro , SC,Apartamento,151.05,4,2,1,3,3141714.6
75, Balneário Camboriú ,Centro , SC,Apartamento,275.21,4,2,1,3,6629550.3
76, Balneário Camboriú ,Centro , SC,Apartamento,178.17,4,4,5,3,5240000.0
77, Balneário Camboriú ,Centro , SC,Apartamento,177.78,4,4,1,3,5240000.0
78, Balneário Camboriú ,Centro , SC,Apartamento,283.56,4,4,5,4,7700000.0
79, Balneário Camboriú ,Centro , SC,Apartamento,251.77,4,4,1,4,6840000.0
80, Balneário Camboriú ,Centro , SC,Apartamento,268.21,4,4,5,4,7280000.0
81, Balneário Camboriú ,Centro , SC,Apartamento,171.66,4,4,5,3,5360000.0
82, Balneário Camboriú ,Centro , SC,Apartamento,171.66,4,4,5,3,5360000.0
83, Balneário Camboriú ,Centro , SC,Apartamento,177.78,4,4,1,3,5460000.0
